province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24
ZamboangaSibugay,Region IX (Zamboanga Peninsula),679404,687544,695261,702554,709441
IV-B (MIMAROPA),80195,81394,82517,83566,84542
Palawan,Region IV-B (MIMAROPA),283418,288473,293288,297866,302217
Palawan,Region IV-B (MIMAROPA),67989,69249,70454,71606,72707
Palawan,Region IV-B (MIMAROPA),70681,71550,72349,73079,73740
Palawan,Region IV-B (MIMAROPA),32838,33054,33233,33378,33487
Palawan,Region IV-B (MIMAROPA),79336,79923,80422,80834,81159
Palawan,Region IV-B (MIMAROPA),193,194,195,196,196
Palawan,Region IV-B (MIMAROPA),21175,21314,21430,21523,21593
Palawan,Region IV-B (MIMAROPA),56492,57674,58814,59913,60975
Palawan,Region IV-B (MIMAROPA),35457,35874,36255,36601,36911
Romblon,Region IV-B (MIMAROPA),17210,17374,17533,17689,17842
Romblon,Region IV-B (MIMAROPA),5600,5607,5614,5618,5621
Romblon,Region IV-B (MIMAROPA),22429,22525,22614,22697,22774
Romblon,Region IV-B (MIMAROPA),10731,10816,10898,10977,11055
Romblon,Region IV-B (MIMAROPA),4083,4089,4094,4097,4099
Romblon,Region IV-B (MIMAROPA),10586,10639,10688,10735,10779
Romblon,Region IV-B (MIMAROPA),22591,22638,22677,22710,22736
Romblon,Region IV-B (MIMAROPA),14638,14727,14813,14894,14971
Romblon,Region IV-B (MIMAROPA),46860,47125,47376,47615,47843
Romblon,Region IV-B (MIMAROPA),39360,39447,39522,39584,39636
Romblon,Region IV-B (MIMAROPA),22985,23043,23094,23138,23176
Romblon,Region IV-B (MIMAROPA),16082,16169,16251,16329,16402
Romblon,Region IV-B (MIMAROPA),23974,24097,24213,24322,24425
Romblon,Region IV-B (MIMAROPA),11424,11527,11627,11725,11820
Romblon,Region IV-B (MIMAROPA),16427,16480,16527,16569,16607
Romblon,Region IV-B (MIMAROPA),7096,7117,7135,7152,7166
Romblon,Region IV-B (MIMAROPA),9331,9498,9666,9834,10002
