province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24,Jul-25
NegrosOriental,Region VII (Central Visayas),1406274,1415197,1423608,1431498,1438905,1445784
NorthernSamar,Region VIII (Eastern Visayas),668766,675198,681299,687075,692539,697662
NuevaEcija,Region III (Central Luzon),2355414,2399251,2443879,2489310,2535669,2582693
NuevaVizcaya,Region II (Cagayan Valley),482894,488238,493292,498057,502534,506713
OccidentalMindoro,Region IV-B (MIMAROPA),515134,519991,524584,528907,532977,536768
OrientalMindoro,Region IV-B (MIMAROPA),901270,911307,920816,929791,938262,946174
Palawan,Region IV-B (MIMAROPA),1216009,1235580,1254109,1271618,1288140,1303582
Pampanga,Region III (Central Luzon),2893624,2943336,2990403,3034809,3076684,3115787
Pangasinan,Region I (Ilocos Region),3113382,3140771,3166645,3191004,3213915,3235246
Quezon,Region IV-A (CALABARZON),2260033,2283979,2306668,2328096,2348314,2367216
Quirino,Region II (Cagayan Valley),197917,199473,200940,202318,203600,204799
Rizal,Region IV-A (CALABARZON),3208959,3266023,3320071,3371105,3419242,3464225
Romblon,Region IV-B (MIMAROPA),301407,302918,304342,305685,306954,308137
Samar(WesternSamar),Region VIII (Eastern Visayas),822095,829420,836359,842913,849093,854878
Sarangani,Region XII (SOCCSKSARGEN),583791,590744,597340,603560,609435,614929
Siquijor,Region VII (Central Visayas),100457,101226,101951,102632,103277,103868
Sorsogon,Region V (Bicol Region),845718,854998,863805,872126,879993,887352
SouthCotabato,Region XII (SOCCSKSARGEN),1644256,1668002,1690513,1711811,1731950,1750809
SouthernLeyte,Region VIII (Eastern Visayas),444355,449157,454029,458974,464005,469088
SultanKudarat,Region XII (SOCCSKSARGEN),855241,862788,869898,876574,882836,888641
Sulu,Autonomous Region in Muslim Mindanao (ARMM),913590,932941,952738,972981,993722,1014855
SurigaoDelNorte,Region XIII (Caraga),528148,537395,546800,556375,566140,576038
SurigaoDelSur,Region XIII (Caraga),620531,625464,630131,634526,638654,642500
Tarlac,Region III (Central Luzon),1460137,1476539,1492039,1506619,1520350,1533125
Tawi-Tawi,Autonomous Region in Muslim Mindanao (ARMM),413690,417702,421523,425133,428560,431770
Zambales,Region III (Central Luzon),894254,906622,918350,929441,939909,949718
ZamboangaDelNorte,Region IX (Zamboanga Peninsula),1047292,1053541,1059418,1064936,1070084,1074863
ZamboangaDelSur,Region IX (Zamboanga Peninsula),1928337,1938071,1947211,1955756,1963720,1971061
ZamboangaSibugay,Region IX (Zamboanga Peninsula),679404,687544,695261,702554,709441,715886
