province,region,Jul-20,Jul-21,Jul-22,Jul-23,Jul-24
IlocosSur,Region I – Ilocos Region,8614,8645,8673,8696,8716
IlocosSur,Region I – Ilocos Region,8541,8661,8779,8895,9008
IlocosSur,Region I – Ilocos Region,27417,27545,27661,27765,27857
IlocosSur,Region I – Ilocos Region,13821,13986,14146,14303,14454
IlocosSur,Region I – Ilocos Region,15700,15736,15765,15786,15800
IlocosSur,Region I – Ilocos Region,14267,14298,14323,14341,14353
IlocosSur,Region I – Ilocos Region,41543,41764,41967,42151,42318
IlocosSur,Region I – Ilocos Region,25999,26058,26105,26140,26163
IlocosSur,Region I – Ilocos Region,31888,32108,32314,32507,32687
IlocosSur,Region I – Ilocos Region,19401,19479,19548,19609,19661
IlocosSur,Region I – Ilocos Region,28632,28697,28749,28788,28813
IlocosSur,Region I – Ilocos Region,3097,3157,3217,3276,3336
IlocosSur,Region I – Ilocos Region,26242,26302,26350,26385,26408
IlocosSur,Region I – Ilocos Region,5545,5716,5890,6068,6247
IlocosSur,Region I – Ilocos Region,12259,12381,12499,12613,12722
IlocosSur,Region I – Ilocos Region,40525,40672,40801,40912,41004
IlocosSur,Region I – Ilocos Region,58036,58671,59287,59884,60461
LaUnion,Region I – Ilocos Region,66841,67238,67595,67914,68193
LaUnion,Region I – Ilocos Region,50057,50396,50707,50991,51244
LaUnion,Region I – Ilocos Region,43820,44023,44200,44351,44474
LaUnion,Region I – Ilocos Region,14389,14520,14644,14760,14868
LaUnion,Region I – Ilocos Region,40361,40473,40559,40621,40657
LaUnion,Region I – Ilocos Region,37328,37483,37615,37725,37812
LaUnion,Region I – Ilocos Region,79556,80167,80733,81256,81734
LaUnion,Region I – Ilocos Region,8298,8320,8336,8347,8352
LaUnion,Region I – Ilocos Region,22790,22869,22933,22984,23020
LaUnion,Region I – Ilocos Region,36752,36833,36891,36926,36938
LaUnion,Region I – Ilocos Region,61125,62233,63324,64402,65460
LaUnion,Region I – Ilocos Region,23809,24530,25257,25994,26736
LaUnion,Region I – Ilocos Region,58304,58667,58996,59293,59555
LaUnion,Region I – Ilocos Region,128997,129960,130849,131670,132416
LaUnion,Region I – Ilocos Region,19925,20192,20450,20701,20942
LaUnion,Region I – Ilocos Region,39380,39674,39945,40196,40423
LaUnion,Region I – Ilocos Region,42558,43076,43573,44053,44512
LaUnion,Region I – Ilocos Region,12924,12973,13013,13046,13070
LaUnion,Region I – Ilocos Region,17545,17590,17624,17647,17660
LaUnion,Region I – Ilocos Region,30577,30831,31068,31290,31494
Pangasinan,Region I – Ilocos Region,28723,28779,28819,28842,28849
Pangasinan,Region I – Ilocos Region,43305,43535,43741,43924,44083
Pangasinan,Region I – Ilocos Region,94312,94918,95473,95980,96436
Pangasinan,Region I – Ilocos Region,45704,46010,46292,46550,46784
Pangasinan,Region I – Ilocos Region,42076,42439,42781,43104,43405
Pangasinan,Region I – Ilocos Region,58714,58827,58906,58951,58962
Pangasinan,Region I – Ilocos Region,36598,37539,38483,39434,40385
Pangasinan,Region I – Ilocos Region,55395,56187,56960,57715,58448
Pangasinan,Region I – Ilocos Region,35748,36167,36571,36960,37334
Pangasinan,Region I – Ilocos Region,34507,34821,35119,35400,35664
Pangasinan,Region I – Ilocos Region,124916,125827,126674,127459,128177
Pangasinan,Region I – Ilocos Region,55982,56113,56211,56277,56311
Pangasinan,Region I – Ilocos Region,87333,87896,88414,88887,89312
Pangasinan,Region I – Ilocos Region,90549,91871,93162,94426,95655
Pangasinan,Region I – Ilocos Region,70283,70646,70971,71258,71506
Pangasinan,Region I – Ilocos Region,25837,26567,27303,28048,28796
Pangasinan,Region I – Ilocos Region,98899,99342,99731,100065,100344
Pangasinan,Region I – Ilocos Region,178396,179261,180027,180698,181268
Pangasinan,Region I – Ilocos Region,31370,31703,32022,32328,32618
Pangasinan,Region I – Ilocos Region,25654,25787,25905,26010,26100
Pangasinan,Region I – Ilocos Region,25486,25840,26185,26521,26847
Pangasinan,Region I – Ilocos Region,107523,108036,108489,108884,109219
Pangasinan,Region I – Ilocos Region,25379,25433,25472,25496,25505
Pangasinan,Region I – Ilocos Region,136847,137706,138493,139208,139849
Pangasinan,Region I – Ilocos Region,74710,75472,76200,76896,77555
Pangasinan,Region I – Ilocos Region,114177,115320,116409,117449,118433
Pangasinan,Region I – Ilocos Region,76317,76692,77026,77317,77566
Pangasinan,Region I – Ilocos Region,39835,40241,40628,40998,41349
Pangasinan,Region I – Ilocos Region,25948,26184,26407,26618,26815
Pangasinan,Region I – Ilocos Region,72892,73321,73710,74062,74373
Pangasinan,Region I – Ilocos Region,66445,66893,67306,67686,68029
Pangasinan,Region I – Ilocos Region,202874,204970,206974,208891,210709
Pangasinan,Region I – Ilocos Region,88286,89023,89716,90367,90973
Pangasinan,Region I – Ilocos Region,44200,44700,45181,45644,46087
Pangasinan,Region I – Ilocos Region,60087,61258,62419,63573,64712
Pangasinan,Region I – Ilocos Region,36918,37074,37209,37324,37418
Pangasinan,Region I – Ilocos Region,33743,33811,33859,33888,33897
Pangasinan,Region I – Ilocos Region,87607,88407,89164,89881,90554
Pangasinan,Region I – Ilocos Region,35013,35286,35540,35778,35997
Pangasinan,Region I – Ilocos Region,15586,15651,15707,15755,15794
Pangasinan,Region I – Ilocos Region,51312,51875,52415,52934,53428
Pangasinan,Region I – Ilocos Region,37394,37893,38378,38850,39307
Pangasinan,Region I – Ilocos Region,46486,46977,47448,47898,48327
Pangasinan,Region I – Ilocos Region,79447,80377,81274,82139,82968
Pangasinan,Region I – Ilocos Region,52398,52675,52925,53146,53338
Pangasinan,Region I – Ilocos Region,140452,141471,142417,143293,144094
Pangasinan,Region I – Ilocos Region,65492,65906,66285,66630,66940
Pangasinan,Region I – Ilocos Region,33616,33918,34203,34473,34726
Batanes,Region II – Cagayan Valley,9340,9473,9610,9749,9890
Batanes,Region II – Cagayan Valley,2753,2733,2714,2696,2677
Batanes,Region II – Cagayan Valley,1411,1425,1440,1455,1470
Batanes,Region II – Cagayan Valley,1544,1542,1540,1538,1537
Batanes,Region II – Cagayan Valley,1610,1607,1606,1604,1602
Batanes,Region II – Cagayan Valley,1355,1365,1375,1385,1395
Cagayan,Region II – Cagayan Valley,34670,34965,35239,35492,35725
Cagayan,Region II – Cagayan Valley,40317,40465,40587,40681,40749
Cagayan,Region II – Cagayan Valley,35846,36155,36444,36712,36957
Cagayan,Region II – Cagayan Valley,51054,51487,51889,52262,52603
Cagayan,Region II – Cagayan Valley,70912,71664,72377,73052,73686
Cagayan,Region II – Cagayan Valley,88264,89005,89694,90331,90913
Cagayan,Region II – Cagayan Valley,36774,37117,37439,37741,38020
Cagayan,Region II – Cagayan Valley,32224,32503,32764,33005,33227
Cagayan,Region II – Cagayan Valley,17345,17413,17470,17515,17549
Cagayan,Region II – Cagayan Valley,26727,26977,27212,27432,27636
Cagayan,Region II – Cagayan Valley,30874,30962,31030,31077,31102
Cagayan,Region II – Cagayan Valley,39713,40308,40885,41447,41990
Cagayan,Region II – Cagayan Valley,58959,59210,59423,59598,59733
Cagayan,Region II – Cagayan Valley,41956,42391,42804,43194,43559
Cagayan,Region II – Cagayan Valley,30580,30988,31380,31759,32122
Cagayan,Region II – Cagayan Valley,48191,48722,49226,49706,50158
Cagayan,Region II – Cagayan Valley,41692,42036,42356,42650,42919
Cagayan,Region II – Cagayan Valley,24348,24417,24470,24507,24528
Cagayan,Region II – Cagayan Valley,50294,50465,50603,50707,50777
Cagayan,Region II – Cagayan Valley,24428,24511,24577,24628,24662
Cagayan,Region II – Cagayan Valley,18567,18620,18661,18689,18704
Cagayan,Region II – Cagayan Valley,26079,26283,26472,26645,26801
Cagayan,Region II – Cagayan Valley,35796,36219,36623,37009,37375
Cagayan,Region II – Cagayan Valley,4794,4899,5004,5108,5210
Cagayan,Region II – Cagayan Valley,20735,20985,21223,21451,21668
Cagayan,Region II – Cagayan Valley,28562,28724,28868,28994,29102
Cagayan,Region II – Cagayan Valley,89479,90489,91452,92369,93235
Cagayan,Region II – Cagayan Valley,66175,66827,67441,68020,68558
Cagayan,Region II – Cagayan Valley,170826,173506,176116,178662,181130
Isabela,Region II – Cagayan Valley,78892,80022,81119,82184,83213
Isabela,Region II – Cagayan Valley,45931,46325,46693,47035,47350
Isabela,Region II – Cagayan Valley,36842,37072,37279,37465,37627
Isabela,Region II – Cagayan Valley,31962,32299,32618,32921,33207
Isabela,Region II – Cagayan Valley,24928,25067,25192,25300,25393
Isabela,Region II – Cagayan Valley,54893,55600,56282,56939,57569
Isabela,Region II – Cagayan Valley,41335,41570,41781,41966,42125
Isabela,Region II – Cagayan Valley,136139,136967,137711,138374,138950
Isabela,Region II – Cagayan Valley,44705,44907,45081,45227,45344
Isabela,Region II – Cagayan Valley,5150,5163,5173,5179,5181
Isabela,Region II – Cagayan Valley,6430,6549,6667,6782,6896
Isabela,Region II – Cagayan Valley,83165,83676,84136,84546,84904
Isabela,Region II – Cagayan Valley,30923,31026,31108,31171,31214
Isabela,Region II – Cagayan Valley,155956,157410,158777,160060,161253
Isabela,Region II – Cagayan Valley,47125,47266,47375,47455,47503
Isabela,Region II – Cagayan Valley,20519,20678,20826,20962,21086
Isabela,Region II – Cagayan Valley,5034,5167,5300,5434,5568
Isabela,Region II – Cagayan Valley,27621,27730,27821,27894,27950
Isabela,Region II – Cagayan Valley,32554,32844,33116,33370,33604
Isabela,Region II – Cagayan Valley,34352,34702,35033,35347,35641
Isabela,Region II – Cagayan Valley,18406,18563,18709,18846,18971
Isabela,Region II – Cagayan Valley,27060,27204,27331,27442,27535
Isabela,Region II – Cagayan Valley,26869,27226,27571,27904,28224
Isabela,Region II – Cagayan Valley,55362,55692,55988,56251,56479
Isabela,Region II – Cagayan Valley,31114,31792,32466,33137,33801
Isabela,Region II – Cagayan Valley,65747,66286,66787,67252,67677
Isabela,Region II – Cagayan Valley,23817,23923,24014,24089,24150
Isabela,Region II – Cagayan Valley,22084,22366,22638,22900,23150
Isabela,Region II – Cagayan Valley,27067,27394,27707,28007,28294
Isabela,Region II – Cagayan Valley,33177,33320,33442,33543,33623
Isabela,Region II – Cagayan Valley,59293,59841,60356,60839,61288
Isabela,Region II – Cagayan Valley,67967,68409,68809,69169,69487
Isabela,Region II – Cagayan Valley,29332,29985,30634,31281,31923
Isabela,Region II – Cagayan Valley,28036,28443,28839,29223,29595
Isabela,Region II – Cagayan Valley,139158,139576,139904,140141,140287
Isabela,Region II – Cagayan Valley,24231,24387,24528,24655,24766
Isabela,Region II – Cagayan Valley,78586,80408,82222,84034,85833
NuevaVizcaya,Region II – Cagayan Valley,17358,17693,18022,18346,18663
NuevaVizcaya,Region II – Cagayan Valley,38617,38753,38860,38938,38988
NuevaVizcaya,Region II – Cagayan Valley,36662,36762,36836,36881,36900
NuevaVizcaya,Region II – Cagayan Valley,60068,61100,62105,63087,64041
NuevaVizcaya,Region II – Cagayan Valley,65700,66254,66765,67232,67655
NuevaVizcaya,Region II – Cagayan Valley,19927,20193,20449,20694,20928
NuevaVizcaya,Region II – Cagayan Valley,29368,29612,29837,30043,30228
NuevaVizcaya,Region II – Cagayan Valley,20023,20127,20216,20291,20352
NuevaVizcaya,Region II – Cagayan Valley,42745,43540,44320,45085,45832
NuevaVizcaya,Region II – Cagayan Valley,26236,26615,26980,27332,27670
NuevaVizcaya,Region II – Cagayan Valley,22841,23094,23333,23558,23769
NuevaVizcaya,Region II – Cagayan Valley,18195,18508,18814,19112,19402
NuevaVizcaya,Region II – Cagayan Valley,62830,63236,63598,63916,64189
NuevaVizcaya,Region II – Cagayan Valley,19209,19278,19333,19374,19400
NuevaVizcaya,Region II – Cagayan Valley,8459,8527,8589,8645,8696
Quirino,Region II – Cagayan Valley,29071,29240,29396,29536,29663
Quirino,Region II – Cagayan Valley,31293,31358,31406,31437,31453
Quirino,Region II – Cagayan Valley,56329,56885,57419,57927,58414
Quirino,Region II – Cagayan Valley,41104,41485,41848,42193,42521
Quirino,Region II – Cagayan Valley,17526,17752,17971,18185,18393
Quirino,Region II – Cagayan Valley,24150,24220,24278,24322,24355
Bataan,Region III – Central Luzon,42252,42491,42676,42818,42888
Bataan,Region III – Central Luzon,28428,28576,28689,28758,28811
Bataan,Region III – Central Luzon,105426,106447,107289,107897,108442
Bataan,Region III – Central Luzon,116868,118040,119021,119750,120411
Bataan,Region III – Central Luzon,77327,79360,81409,83495,85555
Bataan,Region III – Central Luzon,82607,85255,87945,90704,93457
Bataan,Region III – Central Luzon,145635,148073,150311,152385,154188
Bataan,Region III – Central Luzon,34661,35495,36333,37184,38020
Bataan,Region III – Central Luzon,73941,75113,76268,77425,78530
Bataan,Region III – Central Luzon,61461,62362,63247,64132,64971
Bataan,Region III – Central Luzon,43854,43937,44013,44093,44149
Bataan,Region III – Central Luzon,37014,37083,37147,37214,37261
Bulacan,Region III – Central Luzon,62599,62929,63189,63381,63504
Bulacan,Region III – Central Luzon,84207,86059,87943,89866,91817
Bulacan,Region III – Central Luzon,154417,154856,155202,155457,155619
Bulacan,Region III – Central Luzon,135415,138238,141108,144032,146995
Bulacan,Region III – Central Luzon,82020,82555,82980,83296,83500
Bulacan,Region III – Central Luzon,71064,71459,71771,72002,72149
Bulacan,Region III – Central Luzon,114988,115599,116082,116438,116664
Bulacan,Region III – Central Luzon,107235,107974,108559,108992,109270
Bulacan,Region III – Central Luzon,132792,133087,133321,133493,133604
Bulacan,Region III – Central Luzon,265971,267333,268409,269202,269706
Bulacan,Region III – Central Luzon,247635,250196,252236,253761,254760
Bulacan,Region III – Central Luzon,216533,217263,217840,218264,218533
Bulacan,Region III – Central Luzon,116487,116991,117388,117679,117862
Bulacan,Region III – Central Luzon,60170,60267,60344,60402,60440
Bulacan,Region III – Central Luzon,122157,126708,130966,134940,138610
Bulacan,Region III – Central Luzon,55170,55354,55499,55606,55674
Bulacan,Region III – Central Luzon,111993,112404,112728,112966,113115
Bulacan,Region III – Central Luzon,112533,115228,117959,120735,123540
Bulacan,Region III – Central Luzon,116721,118825,120940,123072,125208
Bulacan,Region III – Central Luzon,746118,775160,804212,833353,862424
Bulacan,Region III – Central Luzon,167058,168356,169389,170159,170661
Bulacan,Region III – Central Luzon,104074,105006,105749,106305,106670
Bulacan,Region III – Central Luzon,296207,300215,303444,305901,307572
Bulacan,Region III – Central Luzon,25219,25473,25676,25828,25928
NuevaEcija,Region III – Central Luzon,70763,72059,73378,74723,76086
NuevaEcija,Region III – Central Luzon,70156,71218,72296,73391,74498
NuevaEcija,Region III – Central Luzon,339722,346493,353390,360434,367583
NuevaEcija,Region III – Central Luzon,87697,89255,90838,92452,94087
NuevaEcija,Region III – Central Luzon,46212,47129,48064,49018,49986
NuevaEcija,Region III – Central Luzon,72113,73379,74667,75979,77309
NuevaEcija,Region III – Central Luzon,39323,40030,40749,41481,42223
NuevaEcija,Region III – Central Luzon,121274,123229,125213,127233,129275
NuevaEcija,Region III – Central Luzon,48065,49241,50444,51677,52934
NuevaEcija,Region III – Central Luzon,54586,55811,57061,58341,59642
NuevaEcija,Region III – Central Luzon,136472,139734,143070,146488,149969
NuevaEcija,Region III – Central Luzon,80840,82208,83598,85013,86446
NuevaEcija,Region III – Central Luzon,40029,40818,41622,42442,43275
NuevaEcija,Region III – Central Luzon,30809,31262,31721,32188,32659
NuevaEcija,Region III – Central Luzon,44096,44884,45685,46502,47330
NuevaEcija,Region III – Central Luzon,47292,47910,48535,49169,49809
NuevaEcija,Region III – Central Luzon,88931,90252,91592,92953,94329
NuevaEcija,Region III – Central Luzon,17078,17465,17861,18266,18678
NuevaEcija,Region III – Central Luzon,45865,46733,47616,48518,49432
NuevaEcija,Region III – Central Luzon,33146,33723,34309,34906,35511
NuevaEcija,Region III – Central Luzon,32968,33519,34078,34648,35225
NuevaEcija,Region III – Central Luzon,45575,46474,47390,48325,49274
NuevaEcija,Region III – Central Luzon,72997,74619,76275,77969,79692
NuevaEcija,Region III – Central Luzon,83655,84678,85712,86760,87816
NuevaEcija,Region III – Central Luzon,56327,57164,58012,58874,59744
NuevaEcija,Region III – Central Luzon,152495,154758,157052,159384,161740
NuevaEcija,Region III – Central Luzon,74530,76213,77931,79689,81479
NuevaEcija,Region III – Central Luzon,75593,76677,77776,78893,80021
NuevaEcija,Region III – Central Luzon,66998,68661,70363,72108,73887
NuevaEcija,Region III – Central Luzon,140464,143290,146169,149109,152094
NuevaEcija,Region III – Central Luzon,27051,27639,28238,28852,29475
NuevaEcija,Region III – Central Luzon,56129,57354,58605,59884,61185
Pampanga,Region III – Central Luzon,530140,549676,569081,588409,607553
Pampanga,Region III – Central Luzon,114960,115696,116302,116782,117133
Pampanga,Region III – Central Luzon,147624,149451,151116,152626,153970
Pampanga,Region III – Central Luzon,50416,52209,53985,55750,57494
Pampanga,Region III – Central Luzon,122106,123414,124586,125627,126529
Pampanga,Region III – Central Luzon,142494,144914,147190,149326,151312
Pampanga,Region III – Central Luzon,124087,124731,125237,125606,125837
Pampanga,Region III – Central Luzon,171789,172971,173961,174762,175369
Pampanga,Region III – Central Luzon,295127,301699,308010,314076,319865
Pampanga,Region III – Central Luzon,81473,82106,82648,83100,83460
Pampanga,Region III – Central Luzon,124127,125505,126746,127855,128823
Pampanga,Region III – Central Luzon,62387,63046,63636,64159,64611
Pampanga,Region III – Central Luzon,162855,163616,164197,164598,164818
Pampanga,Region III – Central Luzon,51926,52437,52890,53287,53625
Pampanga,Region III – Central Luzon,139783,141870,143809,145607,147251
Pampanga,Region III – Central Luzon,329695,332305,334546,336426,337932
Pampanga,Region III – Central Luzon,59662,60373,61019,61601,62117
Pampanga,Region III – Central Luzon,58837,59566,60232,60834,61371
Pampanga,Region III – Central Luzon,58617,58971,59258,59482,59639
Pampanga,Region III – Central Luzon,43355,43588,43774,43911,44000
Pampanga,Region III – Central Luzon,43102,43378,43606,43786,43918
Pampanga,Region III – Central Luzon,28774,28881,28980,29074,29160
Tarlac,Region III – Central Luzon,12296,12406,12511,12611,12705
Tarlac,Region III – Central Luzon,78044,79194,80258,81240,82133
Tarlac,Region III – Central Luzon,86751,87307,87852,88389,88914
Tarlac,Region III – Central Luzon,157668,160008,162173,164171,165988
Tarlac,Region III – Central Luzon,171507,173845,176014,178023,179856
Tarlac,Region III – Central Luzon,92727,93491,94221,94921,95585
Tarlac,Region III – Central Luzon,67558,68086,68593,69081,69548
Tarlac,Region III – Central Luzon,34887,35257,35604,35931,36234
Tarlac,Region III – Central Luzon,59664,59985,60306,60631,60955
Tarlac,Region III – Central Luzon,98309,99141,99934,100694,101413
Tarlac,Region III – Central Luzon,24602,24748,24892,25035,25177
Tarlac,Region III – Central Luzon,22637,22825,23006,23178,23342
Tarlac,Region III – Central Luzon,12839,12883,12931,12982,13037
Tarlac,Region III – Central Luzon,26922,27133,27335,27531,27717
Tarlac,Region III – Central Luzon,52006,52620,53192,53726,54218
Tarlac,Region III – Central Luzon,371081,375061,378794,382299,385548
Tarlac,Region III – Central Luzon,68089,68716,69309,69873,70403
Tarlac,Region III – Central Luzon,38952,39333,39694,40034,40352
Zambales,Region III – Central Luzon,61163,61596,61986,62333,62637
Zambales,Region III – Central Luzon,27502,27816,28108,28378,28624
Zambales,Region III – Central Luzon,29578,29899,30196,30470,30718
Zambales,Region III – Central Luzon,87970,91725,95439,99121,102752
Zambales,Region III – Central Luzon,54640,55186,55689,56149,56565
Zambales,Region III – Central Luzon,51418,51903,52348,52753,53117
Zambales,Region III – Central Luzon,245334,246835,248172,249345,250352
Zambales,Region III – Central Luzon,36647,36851,37032,37188,37320
Zambales,Region III – Central Luzon,36301,36548,36787,37017,37239
Zambales,Region III – Central Luzon,24385,24532,24662,24775,24873
Zambales,Region III – Central Luzon,35530,35760,35965,36147,36304
Zambales,Region III – Central Luzon,29796,29970,30124,30258,30373
Zambales,Region III – Central Luzon,62875,63498,64072,64596,65070
Zambales,Region III – Central Luzon,123483,126231,128861,131379,133774
Aurora,Region III – Central Luzon,43873,44537,45183,45812,46421
Aurora,Region III – Central Luzon,24819,24866,24902,24928,24942
Aurora,Region III – Central Luzon,16048,16072,16093,16111,16126
Aurora,Region III – Central Luzon,11682,11717,11744,11764,11776
Aurora,Region III – Central Luzon,27774,28112,28438,28750,29047
Aurora,Region III – Central Luzon,32081,32405,32708,32992,33254
Aurora,Region III – Central Luzon,43795,44250,44688,45110,45513
Aurora,Region III – Central Luzon,29768,30064,30327,30559,30758
Batangas,Region IV‑A – CALABARZON,40594,41007,41416,41823,42224
Batangas,Region IV‑A – CALABARZON,27172,27481,27787,28093,28395
Batangas,Region IV‑A – CALABARZON,101412,103263,105127,107009,108900
Batangas,Region IV‑A – CALABARZON,25655,26179,26708,27243,27783
Batangas,Region IV‑A – CALABARZON,357866,362543,367211,371881,376528
Batangas,Region IV‑A – CALABARZON,103486,105619,107775,109959,112160
Batangas,Region IV‑A – CALABARZON,96386,99009,101681,104410,107182
Batangas,Region IV‑A – CALABARZON,61636,62510,63384,64261,65135
Batangas,Region IV‑A – CALABARZON,34458,34722,34982,35238,35487
Batangas,Region IV‑A – CALABARZON,58255,59153,60053,60957,61862
Batangas,Region IV‑A – CALABARZON,43966,44745,45529,46321,47114
Batangas,Region IV‑A – CALABARZON,107318,109830,112378,114970,117590
Batangas,Region IV‑A – CALABARZON,61128,62640,64176,65740,67325
Batangas,Region IV‑A – CALABARZON,395863,407419,419222,431302,443596
Batangas,Region IV‑A – CALABARZON,46920,47866,48821,49787,50761
Batangas,Region IV‑A – CALABARZON,48128,48422,48708,48988,49258
Batangas,Region IV‑A – CALABARZON,70378,73037,75777,78605,81506
Batangas,Region IV‑A – CALABARZON,31484,31865,32244,32622,32998
Batangas,Region IV‑A – CALABARZON,147856,150197,152545,154907,157271
Batangas,Region IV‑A – CALABARZON,52232,52886,53538,54189,54836
Batangas,Region IV‑A – CALABARZON,130211,132529,134861,137215,139577
Batangas,Region IV‑A – CALABARZON,87346,89163,91001,92862,94739
Batangas,Region IV‑A – CALABARZON,126716,129966,133271,136642,140059
Batangas,Region IV‑A – CALABARZON,35974,36447,36918,37390,37859
Batangas,Region IV‑A – CALABARZON,25026,25437,25849,26265,26681
Batangas,Region IV‑A – CALABARZON,72337,73517,74703,75897,77092
Batangas,Region IV‑A – CALABARZON,26147,27086,28052,29047,30067
Batangas,Region IV‑A – CALABARZON,270626,289895,310302,331908,354593
Batangas,Region IV‑A – CALABARZON,62017,62985,63955,64931,65907
Batangas,Region IV‑A – CALABARZON,52470,53748,55045,56366,57703
Batangas,Region IV‑A – CALABARZON,199548,204190,208897,213683,218522
Batangas,Region IV‑A – CALABARZON,41040,41544,42046,42547,43045
Batangas,Region IV‑A – CALABARZON,19090,19281,19469,19657,19841
Batangas,Region IV‑A – CALABARZON,47181,47751,48318,48885,49447
Cavite,Region IV‑A – CALABARZON,53954,54137,54270,54353,54385
Cavite,Region IV‑A – CALABARZON,41742,42130,42431,42645,42772
Cavite,Region IV‑A – CALABARZON,662111,667919,672403,675569,677401
Cavite,Region IV‑A – CALABARZON,130887,137562,144538,151837,159420
Cavite,Region IV‑A – CALABARZON,104423,104684,104943,105200,105453
Cavite,Region IV‑A – CALABARZON,717044,722460,726605,729482,731079
Cavite,Region IV‑A – CALABARZON,28978,30309,31694,33138,34632
Cavite,Region IV‑A – CALABARZON,367751,373016,377186,380267,382242
Cavite,Region IV‑A – CALABARZON,559453,591234,624602,659654,696201
Cavite,Region IV‑A – CALABARZON,67890,68084,68222,68305,68332
Cavite,Region IV‑A – CALABARZON,87217,87545,87785,87938,88002
Cavite,Region IV‑A – CALABARZON,24006,24120,24206,24262,24289
Cavite,Region IV‑A – CALABARZON,40536,41026,41521,42022,42526
Cavite,Region IV‑A – CALABARZON,34338,34600,34801,34942,35021
Cavite,Region IV‑A – CALABARZON,144777,151320,158130,165224,172565
Cavite,Region IV‑A – CALABARZON,48948,49231,49444,49588,49662
Cavite,Region IV‑A – CALABARZON,135518,140218,145066,150076,155221
Cavite,Region IV‑A – CALABARZON,285782,289450,292348,294480,295835
Cavite,Region IV‑A – CALABARZON,80059,80910,81574,82054,82346
Cavite,Region IV‑A – CALABARZON,261668,265133,267872,269889,271173
Cavite,Region IV‑A – CALABARZON,28347,29330,30344,31392,32468
Cavite,Region IV‑A – CALABARZON,224471,231981,238322,243504,247501
Cavite,Region IV‑A – CALABARZON,175695,179404,183183,187042,190962
Laguna,Region IV‑A – CALABARZON,51871,52417,52926,53398,53831
Laguna,Region IV‑A – CALABARZON,68213,69045,69823,70547,71214
Laguna,Region IV‑A – CALABARZON,382438,389392,395944,402112,407862
Laguna,Region IV‑A – CALABARZON,372260,381438,390168,398474,406308
Laguna,Region IV‑A – CALABARZON,518853,527883,536380,544370,551805
Laguna,Region IV‑A – CALABARZON,85453,86125,86747,87322,87846
Laguna,Region IV‑A – CALABARZON,22465,22565,22657,22742,22818
Laguna,Region IV‑A – CALABARZON,18044,18243,18429,18601,18759
Laguna,Region IV‑A – CALABARZON,25448,25746,26025,26284,26522
